g6	n	m	Q	bip	dist	phi	tf	mtf
K?????????^~	12	11	12	0	0	111111111110	1	1
K???????F~~}	12	20	12	0	0	111111111100	1	1
K??????_F~N}	12	19	12	1	0	411111111302	1	1
K??????o@~~{	12	19	12	1	0	441111111320	1	1
K??????w?~~{	12	19	12	1	0	444111111320	1	1
K??????{?^~{	12	19	12	1	0	444411111320	1	1
K??????~~~^{	12	27	12	0	0	111111111000	1	1
K????A?~v}N{	12	25	12	1	0	411111113002	1	1
K????B?oF}F}	12	20	12	2	0	331111114420	1	1
K????B?N~}^w	12	25	12	1	0	441111113200	1	1
K????B?Nx~^w	12	24	12	2	0	331111114002	1	1
K????B_w?~~w	12	21	12	2	0	444111113320	1	1
K????B_F~}^w	12	25	12	1	0	444111113200	1	1
K????B_Fw~^w	12	23	12	2	0	333111114002	1	1
K????Bo{?^~w	12	22	12	2	0	111133330042	1	1
K????BoB~}^w	12	25	12	1	0	111144442300	1	1
K????B~~v}^w	12	32	12	0	0	111111110000	1	1
K???CB?~`~Nw	12	24	12	2	3	311111144200	1	1
K???CB_Fz}^o	12	24	12	2	3	444111113200	1	1
K???CBoB~{Nw	12	24	12	2	3	111144442300	1	1
K???CB}~f{Nw	12	29	12	1	0	411111130002	1	1
K???CB}~b}Nw	12	29	12	1	0	411111130022	1	1
K???EB?~`~^o	12	25	12	2	0	441111133020	1	1
K???EA_Nq|^o	12	23	12	2	6	300000022114	1	1
K???EB_No~^o	12	24	12	3	3	222444411003	1	1
K???EAoRh}^o	12	23	12	2	6	202200003411	1	1
K???E?pNu\^o	12	24	12	3	5	114411143020	1	1
K???E?xph}^o	12	24	12	3	5	441114412300	1	1
K???E?~~f{^o	12	29	12	1	0	441111132000	1	1
K???E?~Nv{^o	12	28	12	2	0	441111132200	1	1
K???E?~Np}^o	12	27	12	2	0	331111140002	1	1
K???FB_wF{B}	12	23	12	3	0	000333311142	1	1
K???FB_F~{^o	12	26	12	2	0	444111133200	1	1
K???FB_Fw~^o	12	25	12	3	0	333111144002	1	1
K???FBOFp\^o	12	23	12	2	6	441111133220	1	1
K???FAWFrL^o	12	23	12	2	8	411441103020	1	1
K???F?\FvD^o	12	24	12	3	3	111444123320	1	1
K???F?^~f{^o	12	29	12	1	0	444111132000	1	1
K???F?^Fv{^o	12	27	12	2	0	111444423300	1	1
K???Fbo{?^~o	12	25	12	3	0	111133300042	1	1
K???F~}~f{^o	12	35	12	0	0	111111100000	1	1
K??CAB_Fz{Vg	12	23	12	3	6	333000002144	1	1
K??CABoBz{Vg	12	23	12	3	6	111144442300	1	1
K??CAB{Nr{Vg	12	26	12	2	5	141111130202	1	1
K??CEB{~@}No	12	27	12	2	3	441111330020	1	1
K??CEB{Nr{No	12	27	12	2	4	441111130200	1	1
K??CE@A~B{Fk	12	23	12	3	5	441111433002	1	1
K??CE@afNwFw	12	23	12	3	7	441111334002	1	1
K??CBB_fO~No	12	23	12	3	6	222444411003	1	1
K??CBAPFr\^_	12	23	12	3	8	022000032411	1	1
K??CBAXXg}^_	12	23	12	4	8	022000034341	1	1
K??CBA\FvwNo	12	25	12	3	5	144111132200	1	1
K??CFB_Fz{^_	12	25	12	3	3	333111144022	1	1
K??CFAWFrL^_	12	23	12	3	10	222000030411	1	1
K??CF@aFsx^_	12	23	12	3	8	144111133220	1	1
K??CF@aFoz^_	12	23	12	4	6	111444122330	1	1
K??CF@aF^wNo	12	24	12	3	5	444111433200	1	1
K??CF?^^fw^_	12	27	12	2	4	444111132000	1	1
K??CF?^^b{^_	12	27	12	2	4	444111132000	1	1
K??CF?^Fr{^_	12	26	12	3	3	333111140022	1	1
K??CFz{~FwNo	12	31	12	1	0	411111300002	1	1
K??CFz{~B{No	12	31	12	1	0	411111300022	1	1
K??EEBoB~wFw	12	25	12	4	5	331111442020	1	1
K??EEB{Nvw^_	12	28	12	2	0	441111330200	1	1
K??EEB{NvwFw	12	28	12	4	0	331111442020	1	1
K??ED@_NayRc	12	21	12	3	10	344111443002	1	1
K??ED?qFqZ^_	12	23	12	4	9	202000333441	1	1
K??ED?}Nay^_	12	25	12	3	6	441111342200	1	1
K??ED?}VVw^_	12	26	12	2	6	411111332200	1	1
K??ED?^Nay^_	12	25	12	3	6	333111440002	1	1
K??EFB_NfwB{	12	25	12	4	4	333111444020	1	1
K??EFBOFp\^_	12	24	12	4	6	003333111224	1	1
K??EF?}Fvw^_	12	27	12	3	3	331111440022	1	1
K??EF?}Fp{^_	12	26	12	3	4	331111440002	1	1
K??EF?^Fp{^_	12	26	12	3	3	444222001113	1	1
K??E@_qBuZ^_	12	23	12	3	7	113311044002	1	1
K??E@_NMeI~_	12	23	12	4	8	220002340431	1	1
K??E@_NNeY^_	12	24	12	4	8	114411132020	1	1
K??E@_NNeY]C	12	23	12	4	10	330011410024	1	1
K??EDaoRX{^_	12	24	12	3	6	030033311244	1	1
K??EDaKRR`Fo	12	21	12	3	12	221144123320	1	1
K??ED`LNfw^_	12	26	12	2	7	441111300200	1	1
K??ED`LN`{^_	12	25	12	3	7	441111300220	1	1
K??E@f_FmY^_	12	24	12	4	7	444111343200	1	1
K??E@c}NeY^_	12	26	12	3	5	331111400022	1	1
K??E@c}rVw^_	12	27	12	3	5	114411230200	1	1
K??E@~{~Fw^_	12	31	12	1	0	441111320000	1	1
K??E@{}~Fw^_	12	30	12	2	0	441111322000	1	1
K??E@{}Nfw^_	12	29	12	2	0	441111322200	1	1
K??FFB_~?~^_	12	27	12	3	0	111333000242	1	1
