g6	n	m	Q	bip	dist	phi	tf	mtf
I]KoWZBoo	10	20	10	4	0	0011223344	1	1
IMKoWZBoo	10	19	10	3	1	3344001122	1	0
IYKoWZBoo	10	19	10	3	1	3344001122	1	0
I]KoWXBoo	10	19	10	3	1	0011223344	1	0
I]KoWZBOo	10	19	10	3	1	0011223344	1	0
IUKoWZBoo	10	19	10	3	1	3344001122	1	0
I[KoWZBoo	10	19	10	3	1	3344001122	1	0
I]KoWYBoo	10	19	10	3	1	0011223344	1	0
I]KoWZB_o	10	19	10	3	1	0011223344	1	0
I]CoWZBoo	10	19	10	3	1	0011223344	1	0
I]KOWZBoo	10	19	10	3	1	0011223344	1	0
I]GoWZBoo	10	19	10	3	1	0011223344	1	0
I]K_WZBoo	10	19	10	3	1	0011223344	1	0
I]KoGZBoo	10	19	10	3	1	0011223344	1	0
I]KoWJBoo	10	19	10	3	1	0011223344	1	0
I]KoOZBoo	10	19	10	3	1	0011223344	1	0
I]KoWRBoo	10	19	10	3	1	0011223344	1	0
I]KoWZ@oo	10	19	10	3	1	0011223344	1	0
I]KoWZBoO	10	19	10	3	1	0011223344	1	0
I]KoWZAoo	10	19	10	3	1	0011223344	1	0
I]KoWZBo_	10	19	10	3	1	0011223344	1	0
IIKoWZBoo	10	18	10	2	2	1344001122	1	0
IMKoWXBoo	10	18	10	3	2	3344001122	1	0
IMKoWZBOo	10	18	10	3	2	3344001122	1	0
IEKoWZBoo	10	18	10	2	2	4400112233	1	0
IKKoWZBoo	10	18	10	2	2	3344001122	1	0
IMKoWYBoo	10	18	10	2	2	3322110044	1	0
IMKoWZB_o	10	18	10	2	2	3322110044	1	0
IMCoWZBoo	10	18	10	3	2	4433221100	1	0
IMKOWZBoo	10	18	10	3	2	4433221100	1	0
IMGoWZBoo	10	18	10	2	2	2233440011	1	0
IMK_WZBoo	10	18	10	2	2	2233440011	1	0
IMKoGZBoo	10	18	10	3	2	4433221100	1	0
IMKoWJBoo	10	18	10	3	2	4433221100	1	0
IMKoOZBoo	10	18	10	3	2	4433221100	1	0
IMKoWRBoo	10	18	10	3	2	4433221100	1	0
IMKoWZ@oo	10	18	10	3	2	0011223344	1	0
IMKoWZBoO	10	18	10	3	2	0011223344	1	0
IMKoWZAoo	10	18	10	3	2	0011223344	1	0
IMKoWZBo_	10	18	10	3	2	0011223344	1	0
IYKoWXBoo	10	18	10	3	2	3344001122	1	0
IYKoWZBOo	10	18	10	3	2	3344001122	1	0
IQKoWZBoo	10	18	10	2	2	3344001122	1	0
IWKoWZBoo	10	18	10	2	2	4400112233	1	0
IYKoWYBoo	10	18	10	2	2	3322110044	1	0
IYKoWZB_o	10	18	10	2	2	3322110044	1	0
IYCoWZBoo	10	18	10	2	2	2233440011	1	0
IYKOWZBoo	10	18	10	2	2	2233440011	1	0
IYGoWZBoo	10	18	10	3	2	4433221100	1	0
IYK_WZBoo	10	18	10	3	2	4433221100	1	0
IYKoGZBoo	10	18	10	3	2	4433221100	1	0
IYKoWJBoo	10	18	10	3	2	4433221100	1	0
IYKoOZBoo	10	18	10	3	2	4433221100	1	0
IYKoWRBoo	10	18	10	3	2	4433221100	1	0
IYKoWZ@oo	10	18	10	3	2	0011223344	1	0
IYKoWZBoO	10	18	10	3	2	0011223344	1	0
IYKoWZAoo	10	18	10	3	2	0011223344	1	0
IYKoWZBo_	10	18	10	3	2	0011223344	1	0
I]KoWXBOo	10	18	10	2	2	0011223344	1	0
IUKoWXBoo	10	18	10	2	2	3322110044	1	0
I[KoWXBoo	10	18	10	2	2	3322110044	1	0
I]KoWWBoo	10	18	10	2	2	4400112213	1	0
I]KoWXB_o	10	18	10	2	2	4400112233	1	0
I]CoWXBoo	10	18	10	3	2	3344001122	1	0
I]KOWXBoo	10	18	10	3	2	3344001122	1	0
I]GoWXBoo	10	18	10	3	2	3344001122	1	0
I]K_WXBoo	10	18	10	3	2	3344001122	1	0
I]KoGXBoo	10	18	10	3	2	0011223344	1	0
I]KoWHBoo	10	18	10	3	2	0011223344	1	0
I]KoOXBoo	10	18	10	3	2	0011223344	1	0
I]KoWPBoo	10	18	10	3	2	0011223344	1	0
I]KoWX@oo	10	18	10	3	2	2211004433	1	0
I]KoWXBoO	10	18	10	2	2	2211004433	1	0
I]KoWXAoo	10	18	10	3	2	2211004433	1	0
I]KoWXBo_	10	18	10	2	2	2211004433	1	0
IUKoWZBOo	10	18	10	2	2	3322110044	1	0
I[KoWZBOo	10	18	10	2	2	3322110044	1	0
I]KoWYBOo	10	18	10	2	2	4400112233	1	0
I]KoWZB?o	10	18	10	2	2	4400112231	1	0
I]CoWZBOo	10	18	10	3	2	3344001122	1	0
I]KOWZBOo	10	18	10	3	2	3344001122	1	0
I]GoWZBOo	10	18	10	3	2	3344001122	1	0
I]K_WZBOo	10	18	10	3	2	3344001122	1	0
I]KoGZBOo	10	18	10	3	2	0011223344	1	0
I]KoWJBOo	10	18	10	3	2	0011223344	1	0
I]KoOZBOo	10	18	10	3	2	0011223344	1	0
I]KoWRBOo	10	18	10	3	2	0011223344	1	0
I]KoWZ@Oo	10	18	10	2	2	2211004433	1	0
I]KoWZBOO	10	18	10	3	2	2211004433	1	0
I]KoWZAOo	10	18	10	2	2	2211004433	1	0
I]KoWZBO_	10	18	10	3	2	2211004433	1	0
ISKoWZBoo	10	18	10	2	2	3144001122	1	0
IUKoWYBoo	10	18	10	3	2	3344001122	1	0
IUKoWZB_o	10	18	10	3	2	3344001122	1	0
IUCoWZBoo	10	18	10	3	2	4433221100	1	0
IUKOWZBoo	10	18	10	3	2	4433221100	1	0
IUGoWZBoo	10	18	10	2	2	2233440011	1	0
IUK_WZBoo	10	18	10	2	2	2233440011	1	0
IUKoGZBoo	10	18	10	3	2	4433221100	1	0
IUKoWJBoo	10	18	10	3	2	4433221100	1	0
IUKoOZBoo	10	18	10	3	2	4433221100	1	0
IUKoWRBoo	10	18	10	3	2	4433221100	1	0
IUKoWZ@oo	10	18	10	3	2	2211004433	1	0
