g6	n	m	Q	bip	dist	phi	tf	mtf
M?????????????~~_	14	13	14	0	0	11111111111110	1	1
M???????????~~~~?	14	24	14	0	0	11111111111100	1	1
M?????????O?~}^~?	14	23	14	1	0	41111111111302	1	1
M?????????W?N~~}?	14	23	14	1	0	44111111111320	1	1
M?????????[?F~~}?	14	23	14	1	0	44411111111320	1	1
M?????????]?B~~}?	14	23	14	1	0	44441111111320	1	1
M?????????^?@~~}?	14	23	14	1	0	44444111111320	1	1
M?????????^~~}~}?	14	33	14	0	0	11111111111000	1	1
M???????C?^}~{^}?	14	31	14	1	0	41111111113002	1	1
M???????E?W?~{N~?	14	24	14	2	0	33111111114420	1	1
M???????E?F~~{~{?	14	31	14	1	0	44111111113200	1	1
M???????E?F~N}~{?	14	30	14	2	0	33111111114002	1	1
M???????F?[?F~~{?	14	25	14	2	0	44411111113320	1	1
M???????F?B~~{~{?	14	31	14	1	0	44411111113200	1	1
M???????F?B~F}~{?	14	29	14	2	0	33311111114002	1	1
M???????F_]?B~~{?	14	26	14	2	0	44441111113320	1	1
M???????F_@~~{~{?	14	31	14	1	0	44441111113200	1	1
M???????F_@~B}~{?	14	28	14	2	0	33331111114002	1	1
M???????Fo^?@~~{?	14	27	14	2	0	11111333330042	1	1
M???????Fo?~~{~{?	14	31	14	1	0	11111444442300	1	1
M???????F~~}~{~{?	14	40	14	0	0	11111111110000	1	1
M??????_E?^{N}^{?	14	30	14	2	3	31111111144200	1	1
M??????_F?B~^{~w?	14	30	14	2	3	44411111113200	1	1
M??????_F_@~^{~w?	14	30	14	2	3	44441111113200	1	1
M??????_Fo?~~w^{?	14	30	14	2	3	11111444442300	1	1
M??????_F~^{~w^{?	14	37	14	1	0	41111111130002	1	1
M??????_F~^{^{^{?	14	37	14	1	0	41111111130022	1	1
M??????oE?^{N}~w?	14	31	14	2	0	44111111133020	1	1
M??????oD?F}Vy~w?	14	29	14	2	6	30000000022114	1	1
M??????oF?F}F}~w?	14	30	14	3	3	22244444411003	1	1
M??????oD_H|N{~w?	14	29	14	2	6	41441111113200	1	1
M??????oF_@~N{~w?	14	30	14	3	5	44441111113200	1	1
M??????oDoG|N{~w?	14	29	14	2	6	20222000003411	1	1
M??????o@_f}ry~w?	14	30	14	3	5	11441111143020	1	1
M??????o@ow|N{~w?	14	30	14	3	5	11444111143200	1	1
M??????o@ww\N{~w?	14	30	14	3	5	44111144412300	1	1
M??????o@~~{~w~w?	14	37	14	1	0	44111111132000	1	1
M??????o@~f}~w~w?	14	36	14	2	0	44111111132200	1	1
M??????o@~f}N{~w?	14	35	14	2	0	33111111140002	1	1
M??????wF?[?~wF~?	14	27	14	3	0	00033333311142	1	1
