g6	n	m	Q	bip	dist	phi	tf	mtf
H????B~	9	8	9	0	0	111111110	1	1
H???F~}	9	14	9	0	0	111111100	1	1
H??CFx}	9	13	9	1	0	411111302	1	1
H??E@~{	9	13	9	1	0	441111320	1	1
H??F?~{	9	13	9	1	0	111444230	1	1
H??F~z{	9	18	9	0	0	111111000	1	1
H?AFvp{	9	16	9	1	0	411113002	1	1
H?BEFo}	9	14	9	2	0	331114420	1	1
H?B@~rw	9	16	9	1	0	441113200	1	1
H?B@xzw	9	15	9	2	0	331114002	1	1
H?B~vrw	9	20	9	0	0	111110000	1	1
H?bF`xw	9	15	9	2	3	311144200	1	1
H?bvbro	9	17	9	1	0	200031141	1	1
H?rF`zo	9	16	9	2	0	002244131	1	1
H?q`qjo	9	14	9	2	5	114420300	1	1
H?o~fbo	9	17	9	1	0	002243111	1	1
