g6	n	m	Q	bip	dist	phi	tf	mtf
N???????????????^~w	15	14	15	0	0	111111111111110	1	1
N?????????????~~~~o	15	26	15	0	0	111111111111100	1	1
N???????????_?~~N~o	15	25	15	1	0	411111111111302	1	1
N???????????o?N~~~_	15	25	15	1	0	441111111111320	1	1
N???????????w?F~~~_	15	25	15	1	0	444111111111320	1	1
N???????????{?B~~~_	15	25	15	1	0	444411111111320	1	1
N???????????}?@~~~_	15	25	15	1	0	444441111111320	1	1
N???????????~??~~~_	15	25	15	1	0	111111444444230	1	1
N???????????~~~~^~_	15	36	15	0	0	111111111111000	1	1
N?????????O?~}~}N~_	15	34	15	1	0	411111111113002	1	1
N?????????W?N~N~^~?	15	33	15	2	0	331111111114002	1	1
N?????????W?N~~}^~?	15	34	15	1	0	441111111113200	1	1
N?????????W?o?~}F~o	15	26	15	2	0	331111111114420	1	1
N?????????[?F~F~^~?	15	32	15	2	0	333111111114002	1	1
N?????????[?F~~}^~?	15	34	15	1	0	444111111113200	1	1
N?????????[?w?F~~~?	15	27	15	2	0	444111111113320	1	1
N?????????]?B~B~^~?	15	31	15	2	0	333311111114002	1	1
N?????????]?B~~}^~?	15	34	15	1	0	444411111113200	1	1
N?????????]?{?B~~~?	15	28	15	2	0	444411111113320	1	1
N?????????^?@~@~^~?	15	30	15	2	0	333331111114002	1	1
N?????????^?@~~}^~?	15	34	15	1	0	444441111113200	1	1
N?????????^?}?@~~~?	15	29	15	2	0	444441111113320	1	1
N?????????^~~}~}^~?	15	44	15	0	0	111111111110000	1	1
N???????C?W?~{N~N~?	15	33	15	2	3	311111111144200	1	1
N???????C?[?F~^}^}?	15	33	15	2	3	444111111113200	1	1
N???????C?]?B~^}^}?	15	33	15	2	3	444411111113200	1	1
N???????C?^?@~^}^}?	15	33	15	2	3	444441111113200	1	1
N???????C?^}~{^}N~?	15	41	15	1	0	411111111130022	1	1
N???????C?^}~{~{N~?	15	41	15	1	0	411111111130002	1	1
N???????E?E@N}r|^}?	15	33	15	3	5	114411111143020	1	1
