g6	n	Q	bip	dist	Rnum	Rden	R	w
*** psi >= 1/25 : K???CBoB~{Nw Q=20 bip=16 dist=0 w=0,2,2,0,0,3,1,0,4,4,1,3
*** psi >= 1/25 : K???CBoB~{Nw Q=20 bip=16 dist=0 w=0,1,3,0,0,3,1,0,4,4,1,3
*** psi >= 1/25 : K???CBoB~{Nw Q=20 bip=16 dist=0 w=0,1,2,1,0,3,1,0,4,4,1,3
K???CB_Fz}^o	12	20	12	19	475	100	4.7500	3,0,2,2,0,1,0,2,3,2,3,2
K???CB?~`~Nw	12	20	12	19	475	100	4.7500	2,3,0,0,1,1,0,3,2,3,3,2
K???CBoB~{Nw	12	20	12	19	475	100	4.7500	2,0,1,2,0,2,0,3,2,3,3,2
K???CB_Fz}^o	12	21	12	19	475	141	3.3688	3,0,2,0,0,0,3,2,3,2,3,3
K???CB?~`~Nw	12	21	12	19	475	141	3.3688	3,2,0,0,2,2,0,2,3,2,2,3
K???CBoB~{Nw	12	21	12	19	475	141	3.3688	3,0,1,1,1,2,1,2,3,2,2,3
K???EB_No~^o	12	20	12	19	475	100	4.7500	1,2,2,0,0,1,2,2,3,3,2,2
K???EB_No~^o	12	21	12	19	475	141	3.3688	1,1,3,0,0,2,1,3,3,2,2,3
K???CB?~`~Nw	12	22	15	19	475	109	4.3578	3,3,0,0,0,1,2,3,3,2,2,3
K???CBoB~{Nw	12	22	15	19	475	109	4.3578	3,0,1,2,0,1,2,3,3,2,2,3
K???CB_Fz}^o	12	22	15	19	475	109	4.3578	3,1,2,0,0,1,2,3,3,2,3,2
K???EB_No~^o	12	22	15	19	475	109	4.3578	3,0,2,0,1,1,1,2,3,3,3,3
K???CB_Fz}^o	12	23	15	24	600	154	3.8961	3,1,2,0,0,2,2,3,3,2,3,2
K???CBoB~{Nw	12	23	15	24	600	154	3.8961	3,0,1,2,0,2,2,3,3,2,2,3
K???CB?~`~Nw	12	23	15	24	600	154	3.8961	3,3,0,0,0,2,2,3,3,2,2,3
K???EB_No~^o	12	23	15	24	600	154	3.8961	1,2,3,0,0,2,2,3,3,3,2,2
K???CBoB~{Nw	12	24	18	27	675	126	5.3571	3,0,1,2,0,1,2,3,3,3,3,3
K???CB_Fz}^o	12	24	18	27	675	126	5.3571	3,2,1,0,0,0,3,3,3,3,3,3
K???CB?~`~Nw	12	24	18	27	675	126	5.3571	3,3,0,0,0,1,2,3,3,3,3,3
K???CBoB~{Nw	12	25	18	27	675	175	3.8571	3,0,0,3,0,2,1,3,3,4,3,3
K???EB_No~^o	12	24	18	27	675	126	5.3571	0,3,3,0,0,3,0,3,3,3,3,3
K???CB_Fz}^o	12	25	18	27	675	175	3.8571	3,0,3,0,0,1,2,3,3,3,3,4
K???CB?~`~Nw	12	25	18	26	650	175	3.7143	3,4,0,0,2,2,1,4,3,2,2,2
K???EB_No~^o	12	25	18	26	650	175	3.7143	1,4,4,0,1,1,1,2,2,3,4,2
K???EA_Nq|^o	12	20	12	27	675	100	6.7500	1,2,2,0,0,0,3,3,3,2,2,2
K???E?pNu\^o	12	20	12	19	475	100	4.7500	2,1,2,1,0,0,2,2,2,3,3,2
K???EAoRh}^o	12	20	12	27	675	100	6.7500	1,2,1,1,1,1,1,3,3,2,2,2
K???EA_Nq|^o	12	21	14	33	825	91	9.0659	2,2,2,0,0,0,2,3,3,3,3,1
K???E?pNu\^o	12	21	12	19	475	141	3.3688	0,2,1,2,0,0,3,3,2,2,3,3
K???F?\FvD^o	12	20	12	19	475	100	4.7500	0,1,2,3,0,0,2,2,2,3,3,2
K???E?pNu\^o	12	22	15	19	475	109	4.3578	1,2,1,2,0,1,2,3,3,2,2,3
K???EAoRh}^o	12	21	14	33	825	91	9.0659	2,2,0,2,0,0,2,3,3,3,3,1
K???F?\FvD^o	12	21	12	19	475	141	3.3688	0,2,1,0,2,1,3,2,2,3,3,2
K???EA_Nq|^o	12	22	16	33	825	84	9.8214	2,2,2,0,0,1,1,3,3,3,3,2
K???E?pNu\^o	12	23	15	24	600	154	3.8961	1,2,1,2,0,2,2,3,3,2,2,3
K???F?\FvD^o	12	22	15	19	475	109	4.3578	0,1,2,0,1,2,3,3,3,2,2,3
K???EA_Nq|^o	12	23	17	36	900	104	8.6538	2,2,3,0,0,1,2,3,3,3,3,1
K???EAoRh}^o	12	22	16	33	825	84	9.8214	2,2,2,0,0,2,0,3,3,3,3,2
K???E?pNu\^o	12	24	18	27	675	126	5.3571	1,2,1,2,0,1,2,3,3,3,3,3
K???F?\FvD^o	12	23	15	24	600	154	3.8961	0,1,2,0,2,2,3,3,2,3,3,2
K???E?pNu\^o	12	25	18	27	675	175	3.8571	0,3,1,2,0,2,2,3,3,3,3,3
K???F?\FvD^o	12	24	18	27	675	126	5.3571	0,1,2,1,2,0,3,3,3,3,3,3
K???EAoRh}^o	12	23	17	36	900	104	8.6538	2,2,1,2,0,1,2,3,3,3,3,1
K???EA_Nq|^o	12	24	18	45	1125	126	8.9286	3,3,3,0,0,1,2,3,3,3,3,0
K???F?\FvD^o	12	25	17	28	700	200	3.5000	0,2,2,0,2,2,3,3,2,3,4,2
K???FBOFp\^o	12	20	13	20	500	75	6.6667	1,1,2,2,0,0,2,2,3,2,3,2
K???EA_Nq|^o	12	25	21	39	975	100	9.7500	2,3,2,0,0,1,2,3,4,3,3,2
K??CEB{~@}No	12	20	12	19	475	100	4.7500	3,2,0,2,1,0,2,3,0,2,2,3
K???EAoRh}^o	12	24	18	45	1125	126	8.9286	3,3,1,2,0,1,2,3,3,3,3,0
K???FBOFp\^o	12	21	14	33	825	91	9.0659	0,2,2,2,0,0,2,3,3,3,3,1
K???E?xph}^o	12	20	12	19	475	100	4.7500	2,1,0,0,3,0,2,2,2,3,3,2
K??CEB{~@}No	12	21	12	19	475	141	3.3688	2,3,0,0,1,2,3,3,2,1,2,2
K???E?xph}^o	12	21	12	19	475	141	3.3688	1,2,0,1,2,3,0,3,2,3,2,2
K???EAoRh}^o	12	25	21	39	975	100	9.7500	2,2,1,2,0,1,2,4,3,3,3,2
K??CEB{~@}No	12	22	15	19	475	109	4.3578	3,3,0,0,1,2,3,2,1,2,3,2
K???FBOFp\^o	12	22	16	33	825	84	9.8214	0,2,2,2,0,0,2,3,3,3,3,2
K???E?xph}^o	12	22	15	19	475	109	4.3578	1,2,0,1,2,1,2,3,3,2,2,3
K??CEB{~@}No	12	23	15	24	600	154	3.8961	3,3,0,0,2,2,3,3,0,2,2,3
K???E?xph}^o	12	23	15	24	600	154	3.8961	1,2,0,2,2,1,2,3,2,3,3,2
K???FBOFp\^o	12	23	17	36	900	104	8.6538	0,2,3,2,0,1,2,3,3,3,3,1
K??CEB{~@}No	12	24	18	27	675	126	5.3571	3,3,0,0,1,2,3,3,1,2,3,3
K???E?xph}^o	12	24	18	27	675	126	5.3571	1,2,0,1,2,1,2,3,3,3,3,3
K??CAB_Fz{Vg	12	20	13	25	625	75	8.3333	3,2,1,0,1,0,2,2,1,3,3,2
K??CEB{~@}No	12	25	18	27	675	175	3.8571	3,3,0,0,2,1,3,3,0,3,3,4
K???E?xph}^o	12	25	18	26	650	175	3.7143	1,2,1,2,2,2,2,4,2,3,2,2
K???FBOFp\^o	12	24	18	45	1125	126	8.9286	1,2,3,3,0,1,2,3,3,3,3,0
K??CAB_Fz{Vg	12	21	14	33	825	91	9.0659	3,3,0,0,0,2,2,2,2,1,3,3
K??CBB_fO~No	12	20	12	27	675	100	6.7500	3,1,2,0,1,2,2,2,1,2,2,2
K???FAWFrL^o	12	20	12	27	675	100	6.7500	2,0,3,1,0,1,1,2,3,3,2,2
K???FBOFp\^o	12	25	21	39	975	100	9.7500	0,2,3,2,0,1,2,3,4,3,3,2
K??CBB_fO~No	12	21	14	33	825	91	9.0659	3,1,2,0,0,2,2,2,2,3,1,3
K??CAB_Fz{Vg	12	22	16	33	825	84	9.8214	3,3,0,0,0,2,2,2,2,2,3,3
K???FAWFrL^o	12	21	14	33	825	91	9.0659	2,0,2,0,2,0,2,3,3,3,3,1
K??CBB_fO~No	12	22	15	32	800	109	7.3394	3,1,2,0,1,2,3,2,2,3,1,2
K??CABoBz{Vg	12	20	13	25	625	75	8.3333	2,3,0,1,1,0,2,2,1,3,2,3
K??CAB_Fz{Vg	12	23	17	36	900	104	8.6538	3,3,0,2,0,1,3,2,2,1,3,3
K???FAWFrL^o	12	22	16	33	825	84	9.8214	2,0,2,0,2,0,2,3,3,3,3,2
K??CBB_fO~No	12	23	17	36	900	104	8.6538	3,2,1,0,2,1,2,3,2,3,1,3
K??CABoBz{Vg	12	21	14	33	825	91	9.0659	3,3,0,0,0,2,2,2,2,1,3,3
K??CAB_Fz{Vg	12	24	19	41	1025	101	10.1485	3,3,1,0,0,2,3,2,2,2,3,3
K???FAWFrL^o	12	23	18	33	825	79	10.4430	2,0,2,1,1,1,1,3,3,3,3,3
K??CBB_fO~No	12	24	18	45	1125	126	8.9286	3,1,2,0,1,2,3,3,3,3,0,3
K??CABoBz{Vg	12	22	16	33	825	84	9.8214	3,3,0,0,0,2,2,2,2,2,3,3
K???FAWFrL^o	12	24	18	45	1125	126	8.9286	3,1,2,1,2,1,2,3,3,3,3,0
K??CAB_Fz{Vg	12	25	21	39	975	100	9.7500	3,4,0,0,1,2,3,2,2,2,3,3
K??CBB_fO~No	12	25	21	39	975	100	9.7500	3,2,2,0,1,2,3,2,2,3,2,3
K??CABoBz{Vg	12	23	17	36	900	104	8.6538	3,3,0,0,1,2,3,2,2,1,3,3
K??CEB{Nr{No	12	20	12	19	475	100	4.7500	3,2,0,0,0,3,2,3,2,2,2,1
K??CFB_Fz{^_	12	20	12	19	475	100	4.7500	3,0,2,0,1,2,2,2,1,2,3,2
K???FAWFrL^o	12	25	21	39	975	100	9.7500	3,1,1,0,3,2,0,3,3,3,4,2
K??CEB{Nr{No	12	21	12	19	475	141	3.3688	3,2,0,0,2,2,2,3,2,2,2,1
K??CFB_Fz{^_	12	21	12	19	475	141	3.3688	3,0,2,2,0,1,3,0,3,2,3,2
K??CABoBz{Vg	12	24	19	41	1025	101	10.1485	3,3,0,1,0,2,3,2,2,2,3,3
K??CFB_Fz{^_	12	22	15	19	475	109	4.3578	3,1,2,0,1,2,3,1,2,2,3,2
K??CEB{Nr{No	12	22	15	19	475	109	4.3578	2,3,0,0,0,3,3,3,3,3,2,0
K??CAB{Nr{Vg	12	20	12	27	675	100	6.7500	2,2,0,0,0,2,3,3,3,1,2,2
K??CFB_Fz{^_	12	23	15	24	600	154	3.8961	3,1,2,0,2,2,3,1,2,2,3,2
K??CEB{Nr{No	12	23	15	24	600	154	3.8961	3,3,0,0,2,2,3,3,2,2,2,1
K??CABoBz{Vg	12	25	21	39	975	100	9.7500	3,4,0,0,1,2,3,2,2,2,3,3
K??CFB_Fz{^_	12	24	18	27	675	126	5.3571	3,0,3,0,1,2,3,2,1,3,3,3
K??CAB{Nr{Vg	12	21	14	33	825	91	9.0659	3,3,0,0,0,1,3,3,2,2,2,2
K??CEB{Nr{No	12	24	18	27	675	126	5.3571	3,3,0,0,0,3,3,3,3,3,3,0
K??CFB_Fz{^_	12	25	18	26	650	175	3.7143	3,1,3,1,2,2,4,1,2,2,2,2
K??CE@A~B{Fk	12	20	12	27	675	100	6.7500	2,2,0,0,1,2,3,3,2,2,1,2
K??CEB{Nr{No	12	25	18	26	650	175	3.7143	3,4,0,0,0,5,4,3,2,2,0,2
K??CAB{Nr{Vg	12	22	16	33	825	84	9.8214	3,3,0,0,0,2,3,3,2,2,2,2
K??CF@aF^wNo	12	20	12	27	675	100	6.7500	2,0,2,0,1,2,3,3,2,2,2,1
K??CE@A~B{Fk	12	21	14	33	825	91	9.0659	3,1,0,1,1,1,3,2,2,2,2,3
K??CBAPFr\^_	12	20	13	25	625	75	8.3333	2,1,1,1,0,1,3,2,3,2,1,3
K??CAB{Nr{Vg	12	23	18	33	825	79	10.4430	3,3,0,0,1,2,3,3,2,2,2,2
K??CE@A~B{Fk	12	22	16	33	825	84	9.8214	3,2,0,2,1,0,3,2,2,2,2,3
K??CF@aF^wNo	12	21	14	33	825	91	9.0659	3,1,0,0,1,2,3,2,2,3,2,2
K??CBAPFr\^_	12	21	14	32	800	91	8.7912	3,1,2,2,0,1,2,2,1,3,2,2
K??CAB{Nr{Vg	12	24	18	45	1125	126	8.9286	3,3,0,0,0,0,3,3,3,3,3,3
