g6	n	m	Q	bip	dist	phi	tf	mtf
I??????~w	10	9	10	0	0	1111111110	1	1
I????B~~o	10	16	10	0	0	1111111100	1	1
I???CB}^o	10	15	10	1	0	4111111302	1	1
I???E?~~_	10	15	10	1	0	4411111320	1	1
I???F?^~_	10	15	10	1	0	4441111320	1	1
I???F~}~_	10	21	10	0	0	1111111000	1	1
I??CFz{^_	10	19	10	1	0	4111113002	1	1
I??EEB{No	10	16	10	2	0	3311114420	1	1
I??E@~{~?	10	19	10	1	0	4411113200	1	1
I??E@{}~?	10	18	10	2	0	3311114002	1	1
I??FF?^~?	10	17	10	2	0	1113330042	1	1
I??F?~{~?	10	19	10	1	0	1114442300	1	1
I??F~z{~?	10	24	10	0	0	1111110000	1	1
I?AEFo}^?	10	18	10	2	3	3111144200	1	1
I?AF?~w^?	10	18	10	2	3	1114442300	1	1
I?AFvrw^?	10	21	10	1	0	4111130002	1	1
I?AFvp{^?	10	21	10	1	0	4111130022	1	1
I?BEFo}}?	10	19	10	2	0	4411133020	1	1
I?BD@xY}?	10	17	10	2	6	2000033441	1	1
I?B@hzI}?	10	18	10	3	3	1144123320	1	1
I?B@~rw}?	10	21	10	1	0	4411132000	1	1
I?B@xzw}?	10	20	10	2	0	4411132200	1	1
I?BfFBwFo	10	19	10	2	0	0003311142	1	1
I?B~vrw}?	10	25	10	0	0	0000011111	1	1
I?`FBqsF_	10	17	10	3	6	1113330224	1	1
I?bF`xw{?	10	19	10	2	3	2200331411	1	1
I?bF`xw]?	10	19	10	2	4	3000224111	1	1
I?`cn@wFO	10	17	10	3	5	4113304024	1	1
I?rFf_{N?	10	20	10	4	0	0022441133	1	1
I?q`qjo{?	10	18	10	2	5	0022413111	1	1
ICOf@pSb?	10	15	10	3	10	0020031144	1	1
