g6	n	m	Q	bip	dist	phi	tf	mtf
L???????????~~	13	12	13	0	0	1111111111110	1	1
L?????????^~~}	13	22	13	0	0	1111111111100	1	1
L???????C?^}^}	13	21	13	1	0	4111111111302	1	1
L???????E?F~~{	13	21	13	1	0	4411111111320	1	1
L???????F?B~~{	13	21	13	1	0	4441111111320	1	1
L???????F_@~~{	13	21	13	1	0	4444111111320	1	1
L???????Fo?~~{	13	21	13	1	0	1111144444230	1	1
L???????F~~}~{	13	30	13	0	0	1111111111000	1	1
L??????_F~^{^{	13	28	13	1	0	4111111113002	1	1
L??????oE?^{N}	13	22	13	2	0	3311111114420	1	1
L??????o@~~{~w	13	28	13	1	0	4411111113200	1	1
L??????o@~f}~w	13	27	13	2	0	3311111114002	1	1
L??????wF?B~~w	13	23	13	2	0	4441111113320	1	1
L??????w?~~{~w	13	28	13	1	0	4441111113200	1	1
L??????w?~b}~w	13	26	13	2	0	3331111114002	1	1
L??????{F_@~~w	13	24	13	2	0	4444111113320	1	1
L??????{?^~{~w	13	28	13	1	0	4444111113200	1	1
L??????{?^`}~w	13	25	13	2	0	3333111114002	1	1
L??????~~~^{~w	13	36	13	0	0	1111111110000	1	1
L????A?oF}F}^w	13	27	13	2	3	3111111144200	1	1
L????A?w?~n{~o	13	27	13	2	3	4441111113200	1	1
L????A?{?^n{~o	13	27	13	2	3	4444111113200	1	1
L????A?~v}^w^w	13	33	13	1	0	4111111130002	1	1
L????A?~v}N{^w	13	33	13	1	0	4111111130022	1	1
L????B?oF}F}~o	13	28	13	2	0	4411111133020	1	1
L????B?g@~Jy~o	13	26	13	2	6	3000000022114	1	1
L????B?w@~B}~o	13	27	13	3	3	2224444411003	1	1
L????B?kA]f{~o	13	26	13	2	6	2022000003411	1	1
L????B?{?^f{~o	13	27	13	3	5	4444111113200	1	1
L????B?mAMf{~o	13	26	13	2	6	0200022204311	1	1
L????B?KH~Xy~o	13	27	13	3	5	1144111143020	1	1
L????B?MMMf{~o	13	27	13	3	5	1144411143200	1	1
L????B?N~}^w~o	13	33	13	1	0	4411111132000	1	1
L????B?Nx~^w~o	13	32	13	2	0	4411111132200	1	1
L????B?Nx~F{~o	13	31	13	2	0	3311111140002	1	1
L????B_wF?^wF}	13	25	13	3	0	0003333311142	1	1
L????B_w?~~w~o	13	29	13	2	0	4441111133200	1	1
L????B_w?~b}~o	13	28	13	3	0	3331111144002	1	1
L????B_s?~Dy~o	13	26	13	2	6	4411111133220	1	1
L????B_{?~@}~o	13	27	13	3	3	2222444411003	1	1
L????B_e?~Ky~o	13	26	13	2	8	4114411143020	1	1
L????B_fBEb{~o	13	26	13	2	8	1441114412300	1	1
L????B_FG~[Y~o	13	27	13	3	5	1114441123320	1	1
L????B_F~}^w~o	13	33	13	1	0	4441111132000	1	1
L????B_Fw~^w~o	13	31	13	2	0	4441111132200	1	1
L????B_Fw~B{~o	13	29	13	3	0	3331111140002	1	1
L????Bo{F_@~~o	13	27	13	3	0	1111333300042	1	1
L????Bo{?^~w~o	13	30	13	2	0	4444111133200	1	1
L????Bo{?^`}~o	13	28	13	4	0	1111333300442	1	1
L????Bor?^EY~o	13	26	13	2	9	1144114402030	1	1
L????Bob_^MI~o	13	26	13	2	6	1111444123320	1	1
L????BoB~}^w~o	13	33	13	1	0	1111444423000	1	1
L????B~~v}^w~o	13	40	13	0	0	1111111100000	1	1
L???C@?w?~nwng	13	26	13	3	6	3330000002144	1	1
L???C@?{?^nwng	13	26	13	3	6	2222000003411	1	1
L???C@?~`~Nwng	13	30	13	2	5	1411111130202	1	1
L???CB?mAM~oNw	13	26	13	3	8	0200022204311	1	1
L???CB?~f{F{^o	13	31	13	2	3	4411111330020	1	1
L???CB?~`~Nw^o	13	31	13	2	4	4411111130200	1	1
L???CB?OV{NwNk	13	26	13	3	5	4411111433002	1	1
L???CB?WS{~oNw	13	26	13	3	7	4411111334002	1	1
L???C@_wC|B}^o	13	26	13	3	6	2224444411003	1	1
L???C@_{C|@}^o	13	26	13	4	8	4444111113020	1	1
L???C@_cG~Ly~_	13	26	13	3	8	0220000032411	1	1
L???C@_eG~Ky~_	13	26	13	4	8	4114411143020	1	1
L???C@_fg~^o^o	13	29	13	3	5	1441111132200	1	1
L???CB_w?~nw~_	13	28	13	3	3	3331111144022	1	1
L???CB_e?~Ky~_	13	26	13	3	10	2000000333441	1	1
L???CB_fBEb{~_	13	26	13	3	10	2220000331241	1	1
L???CB_WO~Rq~_	13	26	13	3	8	1441111133220	1	1
L???CB_WO|~o^o	13	27	13	3	5	4441111433200	1	1
L???CB_WO|b{~_	13	26	13	4	6	2224444111003	1	1
L???CB_Fz}^o~_	13	31	13	2	4	4441111132000	1	1
L???CB_Fz}Nw~_	13	31	13	2	4	4441111132000	1	1
L???CB_Fw~Nw~_	13	30	13	3	3	3331111140022	1	1
L???C@o{C\@}^o	13	26	13	4	6	1444111133220	1	1
L???C@obG^MY~_	13	26	13	4	8	3111331104402	1	1
L???C@obg^^o^o	13	28	13	3	5	4111444423300	1	1
L???CBo{?^~o^o	13	29	13	3	3	1111333300422	1	1
L???CBob_^MI~_	13	26	13	3	8	1111444123320	1	1
L???CBoB~{^o^o	13	31	13	2	4	1111444423000	1	1
L???CB}~f{^o^o	13	36	13	1	0	4111111300002	1	1
L???CB}~f{Nw^o	13	36	13	1	0	4111111300022	1	1
L???EB?{?^~oNw	13	28	13	4	5	3311111444020	1	1
L???EB?~`~^o~_	13	32	13	2	0	4411111330200	1	1
L???EB?~`~^oNw	13	32	13	4	0	3311111442020	1	1
L???EA_W@}Jsfc	13	24	13	3	10	3441111443002	1	1
L???EA_KO~Hu~_	13	26	13	4	9	2020000333441	1	1
L???EA_MQLb{~_	13	26	13	4	10	1411144142300	1	1
L???EA_Np}Js~_	13	29	13	3	6	4411111342200	1	1
L???EA_Nq|^o~_	13	30	13	2	6	4111111332200	1	1
L???EA_Fx}Js~_	13	29	13	3	6	3331111440002	1	1
L???EB_w@}^oF{	13	28	13	4	4	3331111444020	1	1
L???EB_s?~Dy~_	13	27	13	4	6	3311111444002	1	1
L???EB_MUKb{~_	13	27	13	4	8	0033333112124	1	1
L???EB_Np}B{~_	13	30	13	3	4	3311111440002	1	1
L???EB_No~^o~_	13	31	13	3	3	3311111440022	1	1
L???EB_No~B{~_	13	30	13	3	3	3331111440002	1	1
L???E?o{?^fwrg	13	26	13	4	10	3311111414002	1	1
L???E?oKO^Xu~_	13	26	13	3	8	1133111044002	1	1
L???E?oMO^Wu~_	13	26	13	4	9	1144411233220	1	1
L???E?oB^cfwrg	13	26	13	4	10	1111331334022	1	1
L???E?oBx}Xs~_	13	28	13	4	8	1144111132020	1	1
L???EAokA\fw~_	13	27	13	3	6	4144111133200	1	1
L???EAo[A\PqNo	13	24	13	3	12	3344111433220	1	1
L???EAoRG^EY~_	13	26	13	5	10	1411444223320	1	1
L???EAoRh}^o~_	13	30	13	2	7	4144111132000	1	1
L???EAoRh}Fw~_	13	29	13	3	8	4144111432000	1	1
L???EAoRi\Fw~_	13	28	13	3	6	1411444123300	1	1
L???EAoBy\Fw~_	13	28	13	4	7	1411444423300	1	1
L???EBo{?^fw~_	13	29	13	4	5	4444111133200	1	1
L???E?pw?}xs~_	13	27	13	4	7	4441111343200	1	1
L???E?pw?\by~_	13	26	13	4	8	2220000303441	1	1
L???E?pBo\]B~_	13	26	13	4	7	0000333112214	1	1
L???E?pBv_xs~_	13	27	13	4	8	4444111342300	1	1
L???E?pBv_xsNo	13	26	13	4	10	4411111342302	1	1
L???E?pNu\^o~_	13	31	13	3	6	1144111230200	1	1
L???E?pNu\Fw~_	13	30	13	3	5	4411111342020	1	1
L???E?xMP}Wu~_	13	29	13	4	5	3311133400042	1	1
L???E?xHuLZA~_	13	27	13	4	10	4411111322330	1	1
L???E?xph}^o~_	13	31	13	3	5	4411111323200	1	1
L???E?xph}Fw~_	13	30	13	3	6	2244444101003	1	1
L???E?~~f{^o~_	13	36	13	1	0	4411111320000	1	1
L???E?~Nv{^o~_	13	35	13	2	0	4411111322000	1	1
L???E?~Np}^o~_	13	34	13	2	0	3311111400022	1	1
L???E?~Np}Fw~_	13	33	13	2	0	3311111400002	1	1
L???FB_wF{B}~_	13	30	13	3	0	4441111333020	1	1
L???FB_{?~@}~_	13	29	13	4	3	2224444111003	1	1
L???FB_eBKb{~_	13	27	13	3	8	0003333113424	1	1
L???FB_F~{^o~_	13	33	13	2	0	4441111332000	1	1
L???FB_Fw~^o~_	13	32	13	4	0	4441111332200	1	1
L???FB_Fw~B{~_	13	31	13	3	0	3330000221114	1	1
L???FBOw@\By~_	13	27	13	3	7	3331111444002	1	1
L???FBOFo}Ds~_	13	28	13	3	7	3331111440002	1	1
L???FBOFp\^o~_	13	30	13	2	6	2200000334411	1	1
L???FBOBw}Ds~_	13	28	13	4	6	4444222001113	1	1
L???FBo{?}@}~_	13	29	13	4	4	4444111333220	1	1
L???FAW`_}Ks]C	13	24	13	3	16	4111144003002	1	1
L???FAWFo}Ks~_	13	28	13	3	8	1114444203300	1	1
L???FAWFrL^o~_	13	30	13	2	8	4114411230200	1	1
L???F?\FvD^o~_	13	31	13	3	3	4441111322300	1	1
L???F?^~f{^o~_	13	36	13	1	0	4441111320000	1	1
L???F?^Fv{^o~_	13	34	13	2	0	4441111322000	1	1
L???Fbo{F_^oB}	13	30	13	3	0	0000333111142	1	1
