g6	n	m	Q	bip	dist	phi	tf	mtf
I????????	10	0	10	0	0	0000000000	1	0
I??????_?	10	1	10	0	0	0333333331	1	0
I??????o?	10	2	10	0	0	1133333330	1	0
I??????w?	10	3	10	0	0	1113333330	1	0
I??????{?	10	4	10	0	0	1111333330	1	0
I??????}?	10	5	10	0	0	1111133330	1	0
I??????~?	10	6	10	0	0	1111113330	1	0
I??????~_	10	7	10	0	0	1111111330	1	0
I??????~o	10	8	10	0	0	1111111130	1	0
I??????~w	10	9	10	0	0	1111111110	1	1
I????A?O?	10	2	10	0	1	0222222242	1	0
I????A?o?	10	3	10	0	1	0033333311	1	0
I????A?W?	10	3	10	0	1	2442222220	1	0
I????A?w?	10	4	10	0	1	1113333330	1	0
I????A?[?	10	4	10	0	1	2444222220	1	0
I????A?{?	10	5	10	0	1	1111333330	1	0
I????A?]?	10	5	10	0	1	2444422220	1	0
I????A?}?	10	6	10	0	1	1111133330	1	0
I????A?^?	10	6	10	0	1	3000003331	1	0
I????A?~?	10	7	10	0	1	1111113330	1	0
I????A?^_	10	7	10	0	1	3000000331	1	0
I????A?~_	10	8	10	0	1	1111111330	1	0
I????A?^o	10	8	10	0	1	3000000021	1	0
I????A?~o	10	9	10	0	0	4111111130	1	0
I????B?o?	10	4	10	0	0	0033333311	1	0
I????B?w?	10	5	10	0	1	1113333300	1	0
I????B?K?	10	4	10	0	2	4422222202	1	0
I????B?k?	10	5	10	0	2	1311333330	1	0
I????B?{?	10	6	10	0	2	1111333300	1	0
I????B?M?	10	5	10	0	2	2244422220	1	0
I????B?m?	10	6	10	0	2	1311133330	1	0
I????B?}?	10	7	10	0	2	1111133330	1	0
I????B?N?	10	6	10	0	2	2244442220	1	0
I????B?n?	10	7	10	0	2	1311113330	1	0
I????B?~?	10	8	10	0	2	1111113330	1	0
I????B?N_	10	7	10	0	2	3300000021	1	0
I????B?n_	10	8	10	0	2	1311111330	1	0
I????B?~_	10	9	10	0	1	1144444420	1	0
I????B?No	10	8	10	0	1	3300000021	1	0
I????B?no	10	9	10	0	1	4411111130	1	0
I????B?~o	10	10	10	0	0	4411111130	1	0
