# pattern GCrb`o n=8 Q=40  (bip and dist are exact integers; psi=bip/Q^2, d=dist/Q^2)
# best bip overall = 64  (psi = 64/1600)  w = 7,8,0,8,8,0,8,1
# best bip full support = 58  (psi = 58/1600)  w = 7,3,5,8,1,8,6,2
dist	maxbip	w
17	56	7,7,2,7,7,1,8,1
16	56	7,8,0,8,0,8,7,2
15	56	7,7,3,8,5,3,7,0
14	56	7,8,2,8,8,0,7,0
13	58	7,3,5,8,1,8,6,2
12	58	7,2,6,8,1,8,6,2
10	56	7,8,2,8,5,3,7,0
9	57	7,8,1,8,7,1,7,1
8	56	7,9,0,8,0,8,7,1
7	57	7,8,1,7,8,0,8,1
6	58	7,8,0,8,2,6,8,1
5	59	7,8,0,8,3,5,8,1
4	60	7,8,0,8,4,4,8,1
3	61	7,8,0,8,5,3,8,1
2	62	7,8,0,8,6,2,8,1
1	63	7,8,0,8,7,1,8,1
0	64	7,8,0,8,8,0,8,1
