# And(3) n=8
# q  M(q)  25*M(q)  q^2  25M-q^2  argmax
1 0 0 1 -1  [0,0,0,0,0,0,0,0]
2 0 0 4 -4  [0,0,0,0,0,0,0,0]
3 0 0 9 -9  [0,0,0,0,0,0,0,0]
4 0 0 16 -16  [0,0,0,0,0,0,0,0]
5 1 25 25 0  [1,0,0,0,1,1,1,1]
6 1 25 36 -11  [1,0,0,1,1,1,1,1]
7 1 25 49 -24  [1,0,1,1,1,1,1,1]
8 2 50 64 -14  [1,1,1,1,1,1,1,1]
9 2 50 81 -31  [2,0,0,0,1,2,2,2]
10 4 100 100 0  [2,0,0,0,2,2,2,2]
11 4 100 121 -21  [2,0,0,1,2,2,2,2]
12 4 100 144 -44  [2,0,0,2,2,2,2,2]
13 6 150 169 -19  [3,0,0,0,2,3,2,3]
14 6 150 196 -46  [2,1,2,1,2,2,2,2]
15 9 225 225 0  [3,0,0,0,3,3,3,3]
16 9 225 256 -31  [3,0,0,1,3,3,3,3]
17 9 225 289 -64  [5,0,0,0,3,3,3,3]
18 12 300 324 -24  [4,0,0,0,3,4,3,4]
19 12 300 361 -61  [4,0,0,0,3,4,4,4]
20 16 400 400 0  [4,0,0,0,4,4,4,4]
21 16 400 441 -41  [5,0,0,0,4,4,4,4]
22 16 400 484 -84  [5,0,0,0,4,4,4,5]
23 20 500 529 -29  [5,0,0,0,4,5,4,5]
24 20 500 576 -76  [5,0,0,0,4,5,5,5]
25 25 625 625 0  [5,0,0,0,5,5,5,5]
26 25 625 676 -51  [6,0,0,0,5,5,5,5]
27 25 625 729 -104  [6,0,0,0,5,5,5,6]
28 30 750 784 -34  [6,0,0,0,5,6,5,6]
29 30 750 841 -91  [7,0,0,0,5,6,5,6]
30 36 900 900 0  [6,0,0,0,6,6,6,6]
31 36 900 961 -61  [7,0,0,0,6,6,6,6]
32 36 900 1024 -124  [6,0,0,2,6,6,6,6]
33 42 1050 1089 -39  [7,0,0,0,6,7,6,7]
34 42 1050 1156 -106  [8,0,0,0,6,7,6,7]
35 49 1225 1225 0  [7,0,0,0,7,7,7,7]
36 49 1225 1296 -71  [7,0,0,1,7,7,7,7]
